,USDOIS_ON,USDOIS_TN,USDOIS_1W,USDOIS_1M,USDOIS_2M,USDOIS_3M,USDOIS_6M,USDOIS_30y,USDLOIS_1Y,USDLOIS_18M,USDLOIS_2Y,USDLOIS_3Y,USDLOIS_4Y,USDLOIS_5Y,USDLOIS_6Y,USDLOIS_7Y,USDLOIS_8Y,USDLOIS_9Y,USDLOIS_10Y,USDLOIS_12Y,USDLOIS_15Y,USDLOIS_20Y,USDLOIS_25Y,USDLOIS_30Y,USD3M_fra0x3,USD3M_fra3x6,USD3M_fra6x9,USD3M_1Y,USD3M_18M,USD3M_2Y,USD3M_3Y,USD3M_4Y,USD3M_5Y,USD3M_6Y,USD3M_7Y,USD3M_8Y,USD3M_9Y,USD3M_10Y,USD3M_11Y,USD3M_12Y,USD3M_13Y,USD3M_14Y,USD3M_15Y,USD3M_20Y,USD3M_30Y,USD6M_6M,USD6M_1Y,USD6M_18M,USD6M_2Y,USD6M_3Y,USD6M_4Y,USD6M_5Y,USD6M_6Y,USD6M_7Y,USD6M_8Y,USD6M_9Y,USD6M_10Y,USD6M_12Y,USD6M_15Y,USD6M_20Y,USD6M_30Y,SGD6M_6M,SGD6M_1Y,SGD6M_18M,SGD6M_2Y,SGD6M_3Y,SGD6M_4Y,SGD6M_5Y,SGD6M_6Y,SGD6M_7Y,SGD6M_10Y,SGD6M_12Y,SGD6M_15Y,SGD6M_20Y,SGD6M_25Y,SGD6M_30Y,SGDFX_ON,SGDFX_TN,SGDFX_SN,SGDFX_1W,SGDFX_2W,SGDFX_1M,SGDFX_2M,SGDFX_3M,SGDFX_6M,SGDFX_9M,SGDFX_1Y,SGDCCS_18M,SGDCCS_2Y,SGDCCS_3Y,SGDCCS_4Y,SGDCCS_5Y,SGDCCS_6Y,SGDCCS_7Y,SGDCCS_10Y,SGDCCS_12Y,SGDCCS_15Y,SGDCCS_20Y,SGDCCS_30Y
USDOIS_ON,1.013876408448942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_TN,0.2534690969767504,0.760387509041716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_1W,0.04608529101432831,0.1382522763359274,0.829484965329764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_1M,0.02585564282539656,0.07756491058347426,-0.15081544164028263,1.0609442817778072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_2M,0.014366542295982188,0.043098505657225644,0.010772530652768984,-0.07578172813093906,1.0207736432988574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_3M,0.010279334737922233,0.030837201967432025,-0.0007979651431796659,0.005613460707383897,-0.07561285390444734,1.0426018375172188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_6M,0.0052843721030382046,0.015852703892527475,1.7732554190509353e-05,-0.00012474353928961998,0.001680285211477952,-0.023168923781844993,1.0123862116890063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDOIS_30y,-1.0445173051262879e-05,-3.133470396467293e-05,-3.7060740703266156e-07,2.6071190390015138e-06,-3.511767896553e-05,0.00048422661926066833,-0.021158701944387213,1.0310582064603953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDLOIS_1Y,-0.002478148722992963,-0.007434252762909289,-1.763620914063071e-05,0.00012406577891817112,-0.001671155835034437,0.023303427798965055,-1.0063659372983347,-0.017339317238087574,-1.0103608878630475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1829229077472749e-12,-6.030211083635607e-13,-1.6171903051534945e-13,1.009229891092562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
USDLOIS_18M,-0.003289008359677765,-0.009866768389766089,-1.7237102601671053e-05,0.00012125817648884349,-0.0016333376612951472,0.022695652400779524,-0.9850107596327347,-0.034858935902928066,-0.00816082228418747,-1.002789947030237,-9.187203856241142e-20,1.3187394970794639e-19,-6.819112018629347e-19,8.511368023776238e-19,-1.0666624217771581e-19,8.914837548890705e-19,-8.330344759695468e-21,2.1744540782336134e-19,-2.0823100404374643e-18,-1.5652935773827953e-18,3.7965763775299606e-19,7.54734517984409e-18,2.66571032310255e-19,8.53027303392816e-18,-1.2980707242100029e-12,-9.57471816125349e-13,-2.194855953098739e-13,0.008151687068223912,1.0017491978550728,-0.0,-4.165172379847734e-21,-4.165172379847734e-21,-1.1705304867137614e-19,-4.165172379847734e-21,-8.330344759695468e-21,-1.6660689519390937e-20,2.2577575258305684e-19,-3.3321379038781873e-20,5.206465474809668e-22,-9.031030103322273e-19,5.206465474809668e-22,1.0412930949619335e-21,-0.0,-3.3458410090186538e-18,-3.9985654846538325e-19,-6.200869688721463e-19,1.6961521988022475e-19,-8.973141981437825e-17,-8.050073483879856e-20,-1.0247494534190904e-19,-3.8838082432895798e-19,9.206201439228976e-20,-1.295485658109194e-19,-1.087227039116807e-18,-1.6660689519390937e-20,4.515515051661137e-19,-1.2713510679013862e-18,-6.664275807756375e-20,1.7395632625868907e-18,7.491395114968073e-18,-0.0,3.2398097287111666e-19,6.796462990064906e-20,-1.4613922297292703e-16,-2.4056796693034367e-20,2.884674492985926e-19,-2.9284673269626e-19,-2.63690526037326e-19,-5.815282930126725e-19,2.336778753071132e-19,1.4712793421340776e-18,1.6660689519391033e-19,1.332855161551275e-19,7.224824082657819e-18,2.0337755760975264e-24,-8.53027303392816e-18,-9.676199299042299e-20,6.626631697469677e-19,-7.788735910319037e-20,-1.6932974213416897e-26,-0.0,-0.0,-0.0,-0.0,2.7035594245484614e-19,-1.3271814442343832e-23,-1.74348415298018e-16,-0.0,-1.2444915584501959e-19,6.060911052561196e-20,9.622718677213747e-20,-3.136725945954988e-19,-1.2121822105122392e-19,-3.4699397363428075e-19,1.7062418835481089e-18,-8.0313887321588165e-19,1.332855161551275e-19,1.07039506078316e-17,4.26513651696408e-18
