,instrument name,pv01
0,USDOIS_ON,0.0
1,USDOIS_TN,0.0
2,USDOIS_1W,0.0
3,USDOIS_1M,0.0
4,USDOIS_2M,-0.0031415243253668326
5,USDOIS_3M,-0.045102896130587794
6,USDOIS_6M,99.82882437291417
7,USDOIS_30y,-0.3659748088902284
8,USDLOIS_1Y,2.5523008357676815
9,USDLOIS_18M,-96.36518822356877
10,USDLOIS_2Y,-94.99706241311894
11,USDLOIS_3Y,-91.53669393131167
12,USDLOIS_4Y,-88.09485279849716
13,USDLOIS_5Y,-84.69505342318661
14,USDLOIS_6Y,-81.30217669361707
15,USDLOIS_7Y,-77.89164267174635
16,USDLOIS_8Y,-74.49251669503727
17,USDLOIS_9Y,-71.09322422934906
18,USDLOIS_10Y,-67.67423965580166
19,USDLOIS_12Y,-60.88841975393047
20,USDLOIS_15Y,-50.66605789117305
21,USDLOIS_20Y,-33.6894434756272
22,USDLOIS_25Y,-16.69690284038256
23,USDLOIS_30Y,0.2955806378145205
24,USD3M_fra0x3,-1.0833537017798212
25,USD3M_fra3x6,-0.5273954780552583
26,USD3M_fra6x9,-0.33745292951072503
27,USD3M_1Y,100.66831553193272
28,USD3M_18M,0.12398188660925089
29,USD3M_2Y,-0.19994769054468234
30,USD3M_3Y,-0.15275766222692946
31,USD3M_4Y,-0.12800702073495301
32,USD3M_5Y,-0.11699747438678137
33,USD3M_6Y,-0.1114245150175224
34,USD3M_7Y,-0.10617569609960861
35,USD3M_8Y,-0.10270438584581684
36,USD3M_9Y,-0.09885213452009398
37,USD3M_10Y,-0.09342783648134434
38,USD3M_11Y,-0.09178137081577409
39,USD3M_12Y,-0.0889479373613846
40,USD3M_13Y,-0.08613055917472733
41,USD3M_14Y,-0.08330613983597139
42,USD3M_15Y,-0.07924270088731811
43,USD3M_20Y,-0.06805567049417993
44,USD3M_30Y,-0.04992151049664407
45,USD6M_6M,0.23565522346127818
46,USD6M_1Y,-0.11862564556497615
47,USD6M_18M,0.1289028927889734
48,USD6M_2Y,0.11842348940202937
49,USD6M_3Y,0.09753529850096979
50,USD6M_4Y,0.08523210608790485
51,USD6M_5Y,0.07369970752884339
52,USD6M_6Y,0.07399238821627606
53,USD6M_7Y,0.07178546102619061
54,USD6M_8Y,0.07595917678316058
55,USD6M_9Y,0.07763504139561898
56,USD6M_10Y,0.07801591725079278
57,USD6M_12Y,0.09257470574527925
58,USD6M_15Y,0.08234992933280212
59,USD6M_20Y,0.05108382154984451
60,USD6M_30Y,-0.026329396688448428
61,SGD6M_6M,0.0
62,SGD6M_1Y,3.4873277345698795e-21
63,SGD6M_18M,0.00011520918323924436
64,SGD6M_2Y,0.00013861139867333303
65,SGD6M_3Y,0.00014046268893618918
66,SGD6M_4Y,8.990316805088555e-05
67,SGD6M_5Y,4.294283861820816e-05
68,SGD6M_6Y,-4.178462804005226e-05
69,SGD6M_7Y,-0.0001702340731598817
70,SGD6M_10Y,-0.0005796054372337464
71,SGD6M_12Y,-0.0009304592402377785
72,SGD6M_15Y,-0.0013445794256369886
73,SGD6M_20Y,-0.001252464950776607
74,SGD6M_25Y,-0.0009890194350054772
75,SGD6M_30Y,-0.0005735680637240279
76,SGDFX_ON,0.0
77,SGDFX_TN,0.0
78,SGDFX_SN,0.0
79,SGDFX_1W,0.0
80,SGDFX_2W,0.0
81,SGDFX_1M,0.0
82,SGDFX_2M,0.0
83,SGDFX_3M,0.0
84,SGDFX_6M,0.0
85,SGDFX_9M,0.0
86,SGDFX_1Y,6.7979446029998325e-18
87,SGDCCS_18M,0.1776482967861471
88,SGDCCS_2Y,0.11192255021430533
89,SGDCCS_3Y,0.05460586150535218
90,SGDCCS_4Y,0.0268556185254218
91,SGDCCS_5Y,0.01572473109940578
92,SGDCCS_6Y,-0.00025940366341352383
93,SGDCCS_7Y,-0.0094045096400103
94,SGDCCS_10Y,-0.03633632412798831
95,SGDCCS_12Y,-0.05788302997412688
96,SGDCCS_15Y,-0.05558445291830451
97,SGDCCS_20Y,-0.032144884090529596
98,SGDCCS_30Y,0.03187439614649776
