,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
0,USDOIS,ON,DEPO,,42930,0.445,0.004511777670310926,0.0
1,USDOIS,TN,DEPO,,42933,0.46,0.004625794042557199,0.0
2,USDOIS,1W,OIS,,42942,0.375,0.003951735507929946,0.0
3,USDOIS,1M,OIS,,42968,0.38,0.003938533170215667,0.0
4,USDOIS,2M,OIS,,42998,0.3815,0.003910120651232512,0.0
5,USDOIS,3M,OIS,,43027,0.381,0.003891626710393346,0.0
6,USDOIS,6M,OIS,,43119,0.383,0.0038953605368721193,0.0
7,USDOIS,30y,OIS,,53892,0.394,0.003988921052987139,0.0
8,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
9,USDLOIS,1Y,BSSWAP,,43298,0.4,-0.0008031271690877404,0.0
10,USDLOIS,18M,BSSWAP,,43482,0.4,-0.0005282737532136932,0.0
11,USDLOIS,2Y,BSSWAP,,43663,0.4,-0.00024768496165761505,0.0
12,USDLOIS,3Y,BSSWAP,,44029,0.4,0.0003149618940293274,0.0
13,USDLOIS,4Y,BSSWAP,,44396,0.4,0.0009200018690995056,0.0
14,USDLOIS,5Y,BSSWAP,,44760,0.4,0.0015617726074495526,0.0
15,USDLOIS,6Y,BSSWAP,,45124,0.4,0.002315482777395423,0.0
16,USDLOIS,7Y,BSSWAP,,45490,0.4,0.003015018630968537,0.0
17,USDLOIS,8Y,BSSWAP,,45855,0.4,0.0037358890163948135,0.0
18,USDLOIS,9Y,BSSWAP,,46220,0.4,0.004350106870193969,0.0
19,USDLOIS,10Y,BSSWAP,,46587,0.4,0.004853289440577543,0.0
20,USDLOIS,12Y,BSSWAP,,47316,0.4,0.005897888886035663,0.0
21,USDLOIS,15Y,BSSWAP,,48414,0.4,0.007012204236141076,0.0
22,USDLOIS,20Y,BSSWAP,,50238,0.4,0.008200311030832493,0.0
23,USDLOIS,25Y,BSSWAP,,52064,0.4,0.008647729109171495,0.0
24,USDLOIS,30Y,BSSWAP,,53890,0.4,0.009095217514427913,0.0
25,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
26,USD3M,fra0x3,FRA,,43025,0.6646,0.006732589782556752,0.0
27,USD3M,fra3x6,FRA,,43117,0.678,0.006798961144128874,0.0
28,USD3M,fra6x9,FRA,,43207,0.6925,0.006868937344431715,0.0
29,USD3M,1Y,SWAP,,43298,0.7055,0.007132214621682391,0.0
30,USD3M,18M,SWAP,,43482,0.733,0.0074123435520821734,0.0
31,USD3M,2Y,SWAP,,43663,0.7613,0.007696201013072933,0.0
32,USD3M,3Y,SWAP,,44029,0.8173,0.008263445184030343,0.0
33,USD3M,4Y,SWAP,,44396,0.8773,0.008872067834830593,0.0
34,USD3M,5Y,SWAP,,44760,0.9408,0.009516943156145955,0.0
35,USD3M,6Y,SWAP,,45124,1.0152,0.01027344696579706,0.0
36,USD3M,7Y,SWAP,,45490,1.0842,0.010975733038740535,0.0
37,USD3M,8Y,SWAP,,45855,1.1552,0.011699257086527571,0.0
38,USD3M,9Y,SWAP,,46220,1.2157,0.012316187328519572,0.0
39,USD3M,10Y,SWAP,,46587,1.2653,0.01282218319234637,0.0
40,USD3M,11Y,SWAP,,46951,1.3195,0.013376119444044973,0.0
41,USD3M,12Y,SWAP,,47316,1.368,0.013872144444053878,0.0
42,USD3M,13Y,SWAP,,47681,1.411,0.014312160881357054,0.0
43,USD3M,14Y,SWAP,,48046,1.4485,0.01469602494493037,0.0
44,USD3M,15Y,SWAP,,48414,1.4777,0.014994567164664987,0.0
45,USD3M,20Y,SWAP,,50238,1.595,0.016197648713871735,0.0
46,USD3M,30Y,SWAP,,53890,1.6857,0.017123684043808193,0.0
47,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
48,USD6M,6M,BSSWAP,,43117,0.25875,0.002611507194092717,0.0
49,USD6M,1Y,BSSWAP,,43298,0.24125,0.0024357649361614617,0.0
50,USD6M,18M,BSSWAP,,43482,0.2275,0.0022964002034451237,0.0
51,USD6M,2Y,BSSWAP,,43663,0.2175,0.0021945757483315146,0.0
52,USD6M,3Y,BSSWAP,,44029,0.1975,0.001990632300597836,0.0
53,USD6M,4Y,BSSWAP,,44396,0.18375,0.0018495785548652054,0.0
54,USD6M,5Y,BSSWAP,,44760,0.17375,0.001746218811094441,0.0
55,USD6M,6Y,BSSWAP,,45124,0.17,0.0017057238318030146,0.0
56,USD6M,7Y,BSSWAP,,45490,0.16625,0.0016652538493955498,0.0
57,USD6M,8Y,BSSWAP,,45855,0.16583,0.0016584226833154206,0.0
58,USD6M,9Y,BSSWAP,,46220,0.1654117,0.0016519326688144243,0.0
59,USD6M,10Y,BSSWAP,,46587,0.165,0.0016459017816141904,0.0
60,USD6M,12Y,BSSWAP,,47316,0.1713,0.0017062008680411565,0.0
61,USD6M,15Y,BSSWAP,,48414,0.1725,0.0017137701459533688,0.0
62,USD6M,20Y,BSSWAP,,50238,0.1738,0.0017219764218669908,0.0
63,USD6M,30Y,BSSWAP,,53890,0.17375,0.0017175719164359594,0.0
64,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
65,SGD6M,6M,SWAP,,43117,1.105449,0.011023802418372114,0.0
66,SGD6M,1Y,SWAP,,43298,1.2075,0.012029334861522424,0.0
67,SGD6M,18M,SWAP,,43482,1.2725,0.012675812606579434,0.0
68,SGD6M,2Y,SWAP,,43663,1.32375,0.013187256628281532,0.0
69,SGD6M,3Y,SWAP,,44029,1.4475,0.014423024883867193,0.0
70,SGD6M,4Y,SWAP,,44396,1.54375,0.015385195771843552,0.0
71,SGD6M,5Y,SWAP,,44760,1.61125,0.016059407889531523,0.0
72,SGD6M,6Y,SWAP,,45124,1.69375,0.016884187199574952,0.0
73,SGD6M,7Y,SWAP,,45490,1.78875,0.017834513509311416,0.0
74,SGD6M,10Y,SWAP,,46587,1.9775,0.019713200773993123,0.0
75,SGD6M,12Y,SWAP,,47316,2.0675,0.020600417086434626,0.0
76,SGD6M,15Y,SWAP,,48414,2.17,0.021608586269274605,0.0
77,SGD6M,20Y,SWAP,,50238,2.2275,0.022169357733693308,0.0
78,SGD6M,25Y,SWAP,,52064,2.2575,0.022461646729669292,0.0
79,SGD6M,30Y,SWAP,,53890,2.2875,0.022756790612293017,0.0
80,curve name,value date,tenor,tenor start,tenor end,quote,zero rate,error
81,SGDFX,ON,DEPO,,42930,-0.0111586,-0.00011158601709355477,0.0
