PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617576;1.430247;
2y;6m;0.005797;0.000000;-0.441685;1.171908;
2y;9m;0.005580;0.000000;-0.182451;0.899383;
2y;1y;0.005830;0.020614;0.183913;0.809788;
2y;2y;0.006057;0.000000;0.009773;0.997565;
2y;5y;0.031362;0.380887;0.079566;0.371217;
2y;10y;0.022713;0.328955;-0.055713;0.265421;
5y;3m;0.006417;0.000000;0.347235;0.505463;
5y;6m;0.010783;0.110885;0.322698;0.454870;
5y;9m;0.014303;0.173815;0.246883;0.423410;
5y;1y;0.017120;0.211179;0.280779;0.382700;
5y;2y;0.041026;0.422692;-0.050892;0.375533;
5y;5y;0.027470;0.345337;-0.005961;0.313709;
5y;10y;0.020506;0.311339;-0.103179;0.311240;
10y;3m;0.019510;0.239014;-0.139267;0.616539;
10y;6m;0.048804;0.475703;-0.254941;0.647670;
10y;9m;0.047114;0.467290;-0.266664;0.593247;
10y;1y;0.038282;0.409107;-0.254202;0.492098;
10y;2y;0.023676;0.281466;-0.120113;0.370023;
10y;5y;0.023392;0.310694;-0.075495;0.349582;
10y;10y;0.023432;0.343340;-0.104912;0.300194;
15y;3m;0.031551;0.366745;-0.460817;0.687262;
15y;6m;0.043393;0.447692;-0.414624;0.614685;
15y;9m;0.026532;0.315033;-0.277036;0.491799;
15y;1y;0.033496;0.377633;-0.277912;0.458760;
15y;2y;0.022917;0.279386;-0.142381;0.406092;
15y;5y;0.036855;0.453852;-0.164801;0.398623;
15y;10y;0.023125;0.354191;-0.077770;0.258090;
30y;3m;0.042388;0.433659;-0.468815;0.709468;
30y;6m;0.049221;0.470906;-0.413750;0.633981;
30y;9m;0.045019;0.449279;-0.376338;0.566507;
30y;1y;0.026007;0.298105;-0.302954;0.456648;
30y;2y;0.044160;0.449452;-0.298733;0.446647;
30y;5y;0.041868;0.476740;-0.214038;0.408069;
30y;10y;0.033415;0.456591;-0.162740;0.277991;
3y9m;2y2m;0.225100;0.864454;0.195961;0.513368;
